,annotation_id,attribution_present,because,conversation_id,participant_id
0,22675,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
1,22676,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
2,22677,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
3,22678,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
4,22679,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
5,22680,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
6,22681,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
7,22682,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
8,22683,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
9,22684,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
10,22685,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
11,22686,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
12,22687,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
13,22688,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
14,22689,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
15,22690,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
16,22691,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
17,22692,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
18,22693,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
19,22694,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
20,22695,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
21,22696,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
22,22697,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
23,22698,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
24,22699,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
25,22700,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
26,22701,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
27,22702,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
28,22703,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
29,22704,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
30,22705,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
31,22706,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
32,22707,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
33,22708,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
34,22709,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
35,22710,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
36,22711,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
37,22712,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
38,22713,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
39,22714,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
40,22715,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
41,22716,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
42,22717,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
43,22718,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
44,22719,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
45,22720,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
46,22721,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
47,22722,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
48,22723,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
49,22724,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
50,22725,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
51,22726,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
52,22727,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
53,22728,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
54,22729,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
55,22730,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
56,22731,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
57,22732,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
58,22733,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
59,22734,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
60,22735,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
61,22736,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
62,22737,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
63,22738,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
64,22739,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
65,22740,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
66,22741,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
67,22742,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
68,22743,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
69,22744,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
70,22745,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
71,22746,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
72,22747,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
73,22748,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
74,22749,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
75,22750,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
76,22751,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
77,22752,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
78,22753,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
79,22754,False,0,4-MG-2014-05-17_PES_3_consensus.xml,4-MG
